typedAnswer,multiplyRT,multiplyCorr,problem,OperandType,productType,participant,group
12,7.0746,1,6 x 2 =,largeFirst,smallProd,500,CAB
15,3.602,1,5 x 3 =,largeFirst,smallProd,500,CAB
16,6.9417,1,2 x 8 =,smallFirst,smallProd,500,CAB
20,3.3527,1,5 x 4 =,largeFirst,smallProd,500,CAB
8,3.0198,1,4 x 2 =,largeFirst,smallProd,500,CAB
56,19.1364,1,8 x 7 =,largeFirst,largeProd,500,CAB
24,10.4775,1,8 x 3 =,largeFirst,smallProd,500,CAB
32,6.1567,1,4 x 8 =,smallFirst,largeProd,500,CAB
72,6.656,1,9 x 8 =,largeFirst,largeProd,500,CAB
42,3.3694,1,6 x 7 =,smallFirst,largeProd,500,CAB
54,7.9247,1,9 x 6 =,largeFirst,largeProd,500,CAB
10,2.2697,1,2 x 5 =,smallFirst,smallProd,500,CAB
30,2.5862,1,5 x 6 =,smallFirst,largeProd,500,CAB
32,8.8267,0,7 x 4 =,largeFirst,largeProd,500,CAB
24,12.2624,1,4 x 6 =,smallFirst,smallProd,500,CAB
36,14.5262,1,9 x 4 =,largeFirst,largeProd,500,CAB
40,3.1013,1,8 x 5 =,largeFirst,largeProd,500,CAB
27,2.9539,1,3 x 9 =,smallFirst,largeProd,500,CAB
18,8.6104,1,3 x 6 =,smallFirst,smallProd,500,CAB
12,7.2396,1,3 x 4 =,smallFirst,smallProd,500,CAB
45,2.4362,1,5 x 9 =,smallFirst,largeProd,500,CAB
18,1.8663,1,3 x 6 =,smallFirst,smallProd,651,ACB
12,3.5985,1,3 x 4 =,smallFirst,smallProd,651,ACB
6,1.5158,1,2 x 3 =,smallFirst,smallProd,651,ACB
24,1.4323,1,4 x 6 =,smallFirst,smallProd,651,ACB
30,1.6329,1,5 x 6 =,smallFirst,largeProd,651,ACB
432,2.6325,0,6 x 7 =,smallFirst,largeProd,651,ACB
12,1.0501,1,6 x 2 =,largeFirst,smallProd,651,ACB
54,1.9996,1,9 x 6 =,largeFirst,largeProd,651,ACB
72,1.7494,1,9 x 8 =,largeFirst,largeProd,651,ACB
45,3.1829,1,5 x 9 =,smallFirst,largeProd,651,ACB
8,1.2492,1,4 x 2 =,largeFirst,smallProd,651,ACB
48,1.683,1,8 x 6 =,largeFirst,largeProd,651,ACB
10,1.1654,1,2 x 5 =,smallFirst,smallProd,651,ACB
18,1.1999,1,9 x 2 =,largeFirst,smallProd,651,ACB
20,1.2493,1,5 x 4 =,largeFirst,smallProd,651,ACB
40,1.6667,1,8 x 5 =,largeFirst,largeProd,651,ACB
16,1.4826,1,2 x 8 =,smallFirst,smallProd,651,ACB
56,1.7831,1,8 x 7 =,largeFirst,largeProd,651,ACB
32,1.4497,1,4 x 8 =,smallFirst,largeProd,651,ACB
28,1.8825,1,7 x 4 =,largeFirst,largeProd,651,ACB
21,1.016,1,7 x 3 =,largeFirst,smallProd,651,ACB
14,1.433,1,2 x 7 =,smallFirst,smallProd,651,ACB
27,1.5493,1,3 x 9 =,smallFirst,largeProd,651,ACB
15,1.5829,1,5 x 3 =,largeFirst,smallProd,651,ACB
35,1.6332,1,5 x 7 =,smallFirst,largeProd,651,ACB
24,2.4491,1,8 x 3 =,largeFirst,smallProd,651,ACB
63,1.9492,1,7 x 9 =,smallFirst,largeProd,651,ACB
36,1.8325,1,9 x 4 =,largeFirst,largeProd,651,ACB
48,1.9164,1,6 x 8 =,smallFirst,largeProd,651,ACB
53,1.9993,0,7 x 6 =,largeFirst,largeProd,651,ACB
24,1.4672,1,6 x 4 =,largeFirst,smallProd,651,ACB
10,1.0164,1,5 x 2 =,largeFirst,smallProd,651,ACB
56,2.5829,1,7 x 8 =,smallFirst,largeProd,651,ACB
12,1.4832,1,4 x 3 =,largeFirst,smallProd,651,ACB
6,1.6663,1,3 x 2 =,largeFirst,smallProd,651,ACB
32,1.6658,1,8 x 4 =,largeFirst,largeProd,651,ACB
30,1.6162,1,6 x 5 =,largeFirst,largeProd,651,ACB
21,1.1326,1,3 x 7 =,smallFirst,smallProd,651,ACB
27,1.5998000000000001,1,9 x 3 =,largeFirst,largeProd,651,ACB
63,1.7829,1,9 x 7 =,largeFirst,largeProd,651,ACB
20,2.1491,1,4 x 5 =,smallFirst,smallProd,651,ACB
8,1.2832,1,2 x 4 =,smallFirst,smallProd,651,ACB
35,1.7326,1,7 x 5 =,largeFirst,largeProd,651,ACB
14,2.5825,1,7 x 2 =,largeFirst,smallProd,651,ACB
24,1.6164,1,3 x 8 =,smallFirst,smallProd,651,ACB
