typedNumber,typingRT,answerCorr,participant,group
40,1.5324,1,657,ACB
54,1.1995,1,657,ACB
35,1.583,1,657,ACB
32,0.9997,1,657,ACB
12,0.8497,1,657,ACB
48,1.9327,1,657,ACB
15,1.5166,0,657,ACB
64,1.2662,1,657,ACB
45,1.3325,1,657,ACB
4,1.4158,0,658,CAB
63,1.5995,1,658,CAB
10,0.9493,1,658,CAB
20,0.9997,1,658,CAB
18,1.2493,1,658,CAB
8,0.8997,1,658,CAB
15,0.9662,1,658,CAB
30,1.1495,1,658,CAB
35,1.2159,1,658,CAB
54,1.6163,1,658,CAB
24,1.0496,1,658,CAB
36,1.6996,1,658,CAB
32,1.0492,1,658,CAB
40,1.4999,1,658,CAB
72,1.3161,1,658,CAB
48,2.2661,1,658,CAB
6,0.9666,1,658,CAB
21,0.9995,1,658,CAB
14,0.9664,1,658,CAB
16,1.3168,1,658,CAB
45,1.2164,1,658,CAB
28,1.7832,1,658,CAB
49,1.5319,1,658,CAB
26,1.5491,0,658,CAB
9,1.0001,1,658,CAB
12,0.733,1,658,CAB
56,1.2827,1,658,CAB
64,1.3157,1,658,CAB
63,2.0372,1,659,ACB
27,1.2351,1,659,ACB
42,1.3856,1,659,ACB
48,1.4858,1,659,ACB
45,1.3515,1,659,ACB
56,1.1339,1,659,ACB
10,1.435,1,659,ACB
16,1.1673,1,659,ACB
8,1.285,1,659,ACB
12,1.1019,1,659,ACB
32,1.3329,1,659,ACB
9,1.2335,1,659,ACB
35,1.501,1,659,ACB
28,1.3685,1,659,ACB
30,1.6355,1,659,ACB
72,2.0357,1,659,ACB
20,1.5178,1,659,ACB
40,1.5347,1,659,ACB
49,1.5356,1,659,ACB
1,0.9829,0,659,ACB
54,1.8521,1,659,ACB
14,2.3351,1,659,ACB
36,1.7025,1,659,ACB
64,1.5176,1,659,ACB
21,1.1186,1,659,ACB
24,1.5509,1,659,ACB
6,1.1008,1,659,ACB
18,1.6168,1,659,ACB
72,1.3829,1,660,CAB
49,1.3335,1,660,CAB
9,1.082,1,660,CAB
20,1.099,1,660,CAB
45,1.3007,1,660,CAB
16,1.265,1,660,CAB
12,0.8497,1,660,CAB
15,1.066,1,660,CAB
18,1.149,1,660,CAB
30,1.6529,1,660,CAB
36,1.6497,1,660,CAB
28,1.2161,1,660,CAB
40,1.7156,1,660,CAB
10,0.9995,1,660,CAB
27,2.0326,1,660,CAB
64,1.2494,1,660,CAB
21,0.9505,1,660,CAB
8,0.9496,1,660,CAB
32,1.0821,1,660,CAB
6,1.4329,1,660,CAB
24,1.1813,1,660,CAB
63,1.8997,1,660,CAB
42,1.3189,1,660,CAB
14,1.0332,1,660,CAB
28,1.8496,0,660,CAB
54,1.4666,1,660,CAB
35,1.7992,1,660,CAB
56,1.1988,1,660,CAB
42,1.7145,1,667,BAC
49,1.5997,1,667,BAC
32,1.4982,1,667,BAC
72,2.1473,1,667,BAC
45,1.5808,1,667,BAC
36,1.5311,1,667,BAC
27,1.5855,1,667,BAC
14,1.3166,1,667,BAC
16,2.9647,1,667,BAC
6,1.2652,1,667,BAC
30,1.4493,1,667,BAC
21,1.0842,1,667,BAC
10,1.0995,1,667,BAC
56,1.5995,1,667,BAC
28,1.4679,1,667,BAC
64,1.6833,1,667,BAC
18,1.4498,1,667,BAC
15,1.3175,1,667,BAC
20,1.2454,1,667,BAC
48,1.9971,1,667,BAC
35,1.3813,1,667,BAC
12,1.0816,1,667,BAC
24,1.2316,1,667,BAC
8,1.3315,1,667,BAC
54,2.0471,1,667,BAC
63,1.8309,1,667,BAC
40,1.3322,1,667,BAC
9,1.0318,1,667,BAC
48,3.029,1,668,BCA
18,1.3984,1,668,BCA
72,1.4814,1,668,BCA
49,1.5156,1,668,BCA
9,1.3646,1,668,BCA
15,1.6311,1,668,BCA
54,1.9142,1,668,BCA
45,1.5309,1,668,BCA
35,1.8812,1,668,BCA
32,1.2147,1,668,BCA
63,1.7644,1,668,BCA
42,2.1635,1,668,BCA
8,1.2495,1,668,BCA
27,1.6981,1,668,BCA
28,1.598,1,668,BCA
64,2.1974,1,668,BCA
30,2.2309,1,668,BCA
21,2.4144,1,668,BCA
40,1.4149,1,668,BCA
20,1.2822,1,668,BCA
56,1.664,1,668,BCA
16,1.3648,1,668,BCA
10,1.1983,1,668,BCA
14,1.4319,1,668,BCA
36,1.7146,1,668,BCA
24,1.4652,1,668,BCA
12,0.8983,1,668,BCA
6,1.3486,1,668,BCA
42,1.2508,1,672,ACB
72,1.321,1,672,ACB
12,0.8943,1,672,ACB
6,0.9549,1,672,ACB
48,1.2505,1,672,ACB
36,1.3047,1,672,ACB
15,1.4567,1,672,ACB
64,1.2073,1,672,ACB
21,0.8878,1,672,ACB
49,1.1666,1,672,ACB
2,1.2632,0,672,ACB
9,1.0603,1,672,ACB
40,1.1543,1,672,ACB
45,1.1133,1,672,ACB
35,1.091,1,672,ACB
28,1.3778,1,672,ACB
16,1.0297,1,672,ACB
18,1.022,1,672,ACB
63,1.5362,1,672,ACB
56,1.1739,1,672,ACB
24,1.0754,1,672,ACB
10,1.0153,1,672,ACB
30,1.2251,1,672,ACB
14,0.8975,1,672,ACB
32,1.1077,1,672,ACB
8,0.9932,1,672,ACB
20,1.0805,1,672,ACB
54,1.2391,1,672,ACB
24,1.3828,1,674,BCA
18,1.2828,1,674,BCA
28,1.2998,1,674,BCA
27,1.3496,1,674,BCA
20,1.1332,1,674,BCA
54,1.4493,1,674,BCA
21,1.2665,1,674,BCA
42,1.2498,1,674,BCA
32,1.1333,1,674,BCA
9,1.0999,1,674,BCA
56,1.9498,1,674,BCA
30,1.2495,1,674,BCA
10,1.1165,1,674,BCA
72,1.7167,1,674,BCA
45,1.2497,1,674,BCA
15,1.233,1,674,BCA
40,1.2666,1,674,BCA
6,1.1166,1,674,BCA
48,1.3328,1,674,BCA
35,1.233,1,674,BCA
14,1.0999,1,674,BCA
64,1.3163,1,674,BCA
63,1.2664,1,674,BCA
12,1.0331,1,674,BCA
36,1.7164,1,674,BCA
49,1.3162,1,674,BCA
8,1.3667,1,674,BCA
