participant,multiplyCorr,multiplyRT,problem,productType,median_RT,perc_accuracy,verbal_span_mean,mean_blocks,medium_mult_RT,perc_accuracy_mult,fluency_group,interference_score
1000,1,1.398865,4 x 2 =,smallProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,1
1000,1,1.699155,2 x 5 =,smallProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,0
1000,1,5.6962,8 x 3 =,smallProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,13
1000,1,2.06509,5 x 6 =,largeProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,6
1000,0,3.581265,4 x 8 =,largeProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,25
1000,1,3.21514,2 x 7 =,smallProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,4
1000,1,2.215385,3 x 6 =,smallProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,8
1000,1,1.982105,2 x 8 =,smallProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,7
1000,1,2.23224,8 x 5 =,largeProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,9
1000,1,10.360665,9 x 8 =,largeProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,19
1000,1,3.231765,8 x 6 =,largeProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,11
1000,1,2.04865,6 x 7 =,largeProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,22
1000,1,3.914005,9 x 6 =,largeProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,13
1000,1,1.598465,5 x 3 =,smallProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,2
1000,1,7.1461,7 x 9 =,largeProd,1.41564,89.28571428571429,7,8.666666666666666,2.2652975,83.33333333333334,Low,17
500,1,11.6461,6 x 3 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,8
500,1,1.8516,4 x 3 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,10
500,1,4.2035,3 x 8 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,13
500,1,3.8705,8 x 2 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,7
500,1,9.8612,4 x 9 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,9
500,1,4.9553,5 x 2 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,0
500,0,5.322,9 x 3 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,9
500,1,7.4254,6 x 5 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,6
500,1,2.4508,7 x 5 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,7
500,1,2.7844,2 x 6 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,3
500,1,2.8039,4 x 5 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,8
500,1,3.7547,2 x 4 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,1
500,1,4.7048,6 x 9 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,13
500,0,24.5434,8 x 9 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,19
500,1,2.2355,9 x 5 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,6
500,1,2.9033,3 x 7 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,13
500,1,3.2427,3 x 2 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,0
500,1,3.9379,7 x 6 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,22
500,1,2.5172,5 x 8 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,9
500,0,8.3082,8 x 4 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,25
500,1,10.5776,4 x 7 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,17
500,1,4.3204,2 x 9 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,7
500,1,21.9054,7 x 8 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,9
500,1,19.6368,6 x 8 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,11
500,1,2.0182,3 x 5 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,2
500,1,5.5893,9 x 7 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,17
500,1,12.4969,6 x 4 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,12
500,1,1.6855,7 x 2 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,4
500,1,9.4933,7 x 9 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,17
500,1,14.2653,8 x 6 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,11
500,1,2.0346,2 x 7 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,4
500,1,3.7379,7 x 3 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,13
500,1,2.069,5 x 7 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,7
500,1,1.9177,2 x 3 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,0
500,1,1.4678,9 x 2 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,7
500,1,7.0746,6 x 2 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,3
500,1,3.602,5 x 3 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,2
500,1,6.9417,2 x 8 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,7
500,1,3.3527,5 x 4 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,8
500,1,3.0198,4 x 2 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,1
500,1,19.1364,8 x 7 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,9
500,1,10.4775,8 x 3 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,13
500,1,6.1567,4 x 8 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,25
500,1,6.656,9 x 8 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,19
500,1,3.3694,6 x 7 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,22
500,1,7.9247,9 x 6 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,13
500,1,2.2697,2 x 5 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,0
500,1,2.5862,5 x 6 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,6
500,0,8.8267,7 x 4 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,17
500,1,12.2624,4 x 6 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,12
500,1,14.5262,9 x 4 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,9
500,1,3.1013,8 x 5 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,9
500,1,2.9539,3 x 9 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,9
500,1,8.6104,3 x 6 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,8
500,1,7.2396,3 x 4 =,smallProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,10
500,1,2.4362,5 x 9 =,largeProd,1.2597999999999998,100,5,7.333333333333333,3.9042,86.66666666666667,Low,6
651,1,1.8663,3 x 6 =,smallProd,1.19185,96.42857142857144,6,10.333333333333334,1.62465,90,High,8
651,1,3.5985,3 x 4 =,smallProd,1.19185,96.42857142857144,6,10.333333333333334,1.62465,90,High,10
651,1,1.5158,2 x 3 =,smallProd,1.19185,96.42857142857144,6,10.333333333333334,1.62465,90,High,0
651,1,1.4323,4 x 6 =,smallProd,1.19185,96.42857142857144,6,10.333333333333334,1.62465,90,High,12
651,1,1.6329,5 x 6 =,largeProd,1.19185,96.42857142857144,6,10.333333333333334,1.62465,90,High,6
651,0,2.6325,6 x 7 =,largeProd,1.19185,96.42857142857144,6,10.333333333333334,1.62465,90,High,22
651,1,1.0501,6 x 2 =,smallProd,1.19185,96.42857142857144,6,10.333333333333334,1.62465,90,High,3
651,1,1.9996,9 x 6 =,largeProd,1.19185,96.42857142857144,6,10.333333333333334,1.62465,90,High,13
