participant,perc_accuracy,perc_accuracy_mult,verbal_span_mean,visual_span_mean
231,231,231,231,231
0,0,0,0,0
0,0,0,0,0
651,57.14285714285714,71.66666666666667,3.5,4.333333333333333
9935,100,100,9,14
9284,42.85714285714286,28.33333333333333,5.5,9.666666666666668
197252,22696.428571428576,22001.66666666666,1693.5,2181.333333333331
803,100,96.66666666666669,7.5,9.333333333333334
853.9047619047623,98.25293753865182,95.24531024531024,7.3311688311688314,9.443001443001442
40.00564093124407,0.27443860393841535,0.3164191357070617,0.0833849549597405,0.10651445150316147
78.82438543706408,0.5407351011531141,0.6234506767558616,0.16429602617028782,0.20986880810964617
369704.2517598348,17.398122433614944,23.127967041010507,1.6061547148503674,2.620770855553466
608.0331008751373,4.171105660806849,4.809154503757444,1.2673415935928116,1.618879506187371
0.712061962880765,0.04245273235892793,0.05049229711542927,0.17287033251841716,0.17143696482088144
14.417681849343019,-5.09672931841881,-1.4923821185671968,-0.3844691898905436,-0.5671106987004872
45.018349796939795,-15.914232653660054,-4.659873962152771,-1.2004820648353574,-1.7707692591960495
212.3949547567399,40.481072394974596,2.8829065056582692,-0.5696382325606129,0.5172220653017097
332.9843700573981,63.46461669076346,4.519706260539276,-0.8930561851012434,0.8108802009517176
0.12275492527143506,0.45520259392999496,0.8512065225984091,0.9401349112760651,0.9669105042790376
2.3722914472845303e-31,5.1203485698524474e-26,3.827997917710773e-14,4.023598753764473e-8,3.275172891374016e-5
