"","problem_size","interference_score","multiplyRT","log10_rt"
"problem_size",1,0.520560249359882,0.247846713020579,0.359973997395915
"interference_score",0.520560249359882,1,0.246399922908649,0.326283747719895
"multiplyRT",0.247846713020579,0.246399922908649,1,0.864347949561336
"log10_rt",0.359973997395915,0.326283747719895,0.864347949561336,1
